promo_id,customer_id,customer_name,sku_id,category,week_start,planned_lift_pct,actual_lift_pct,feature_display,compliance_pct,funding_rate_pct
PROMO-0001,CUST01,Central Market Group,CAT01-SKU03,Functional Beverages,2025-10-06,35.4,11.1,Digital only,60.0,6.6
PROMO-0002,CUST01,Central Market Group,CAT02-SKU01,Better-for-You Snacks,2025-10-06,33.8,27.0,Feature,76.3,15.7
PROMO-0003,CUST01,Central Market Group,CAT03-SKU03,Plant-Based Meals,2025-10-06,28.7,29.2,Feature,58.8,17.9
PROMO-0004,CUST02,Sproutline Natural Markets,CAT01-SKU02,Functional Beverages,2025-10-06,31.0,30.7,Digital only,61.2,16.6
PROMO-0005,CUST02,Sproutline Natural Markets,CAT01-SKU05,Functional Beverages,2025-10-06,31.5,8.0,Display,77.3,7.6
PROMO-0006,CUST02,Sproutline Natural Markets,CAT05-SKU01,Organic Pantry Staples,2025-10-06,27.3,30.1,Display,89.5,7.8
PROMO-0007,CUST02,Sproutline Natural Markets,CAT05-SKU02,Organic Pantry Staples,2025-10-06,24.3,11.7,Feature and display,81.4,11.7
PROMO-0008,CUST02,Sproutline Natural Markets,CAT06-SKU02,Fresh Specialty Cheese,2025-10-06,25.8,29.9,Feature,65.6,16.0
PROMO-0009,CUST02,Sproutline Natural Markets,CAT06-SKU03,Fresh Specialty Cheese,2025-10-06,10.8,20.4,Feature and display,80.6,9.8
PROMO-0010,CUST03,Northstar Independent Co-op,CAT02-SKU02,Better-for-You Snacks,2025-10-06,24.9,23.6,Digital only,74.5,17.4
PROMO-0011,CUST03,Northstar Independent Co-op,CAT03-SKU02,Plant-Based Meals,2025-10-06,19.0,8.0,Display,88.8,13.5
PROMO-0012,CUST03,Northstar Independent Co-op,CAT03-SKU03,Plant-Based Meals,2025-10-06,21.2,32.0,Feature and display,78.0,15.8
PROMO-0013,CUST03,Northstar Independent Co-op,CAT04-SKU02,Natural Personal Care,2025-10-06,32.1,4.1,Feature,99,15.0
PROMO-0014,CUST03,Northstar Independent Co-op,CAT05-SKU04,Organic Pantry Staples,2025-10-06,12.1,30.7,Display,64.3,11.3
PROMO-0015,CUST03,Northstar Independent Co-op,CAT05-SKU06,Organic Pantry Staples,2025-10-06,28.9,20.1,Display,82.1,9.1
PROMO-0016,CUST04,Fresh Table Supermarkets,CAT01-SKU02,Functional Beverages,2025-10-06,14.7,12.7,Display,78.1,10.4
PROMO-0017,CUST04,Fresh Table Supermarkets,CAT03-SKU05,Plant-Based Meals,2025-10-06,22.7,13.0,Feature,76.8,8.4
