week_start,customer_id,customer_name,sku_id,category,ordered_cases,shipped_cases,fill_rate_pct,on_hand_cases,inbound_po_count,dc_service_level_pct,spoilage_risk_pct
2025-10-06,CUST01,Central Market Group,CAT01-SKU01,Functional Beverages,7,6,95.9,3,2,95.7,3.1
2025-10-06,CUST01,Central Market Group,CAT01-SKU02,Functional Beverages,7,6,92.7,2,3,92.5,1.9
2025-10-06,CUST01,Central Market Group,CAT01-SKU03,Functional Beverages,6,5,94.1,3,3,92.0,1.8
2025-10-06,CUST01,Central Market Group,CAT01-SKU04,Functional Beverages,25,22,88.4,10,3,89.4,4.6
2025-10-06,CUST01,Central Market Group,CAT01-SKU05,Functional Beverages,24,23,98.3,7,0,91.5,1.7
2025-10-06,CUST01,Central Market Group,CAT01-SKU06,Functional Beverages,28,26,94.0,18,4,95.2,4.1
2025-10-06,CUST01,Central Market Group,CAT02-SKU01,Better-for-You Snacks,8,6,75.7,2,2,87.5,5.4
2025-10-06,CUST01,Central Market Group,CAT02-SKU02,Better-for-You Snacks,22,21,97.9,7,4,97.9,1.0
2025-10-06,CUST01,Central Market Group,CAT02-SKU03,Better-for-You Snacks,4,2,74.0,2,0,90.4,5.2
2025-10-06,CUST01,Central Market Group,CAT02-SKU04,Better-for-You Snacks,15,13,92.8,3,4,90.6,1.1
2025-10-06,CUST01,Central Market Group,CAT02-SKU05,Better-for-You Snacks,30,27,92.1,6,2,99.8,2.5
2025-10-06,CUST01,Central Market Group,CAT02-SKU06,Better-for-You Snacks,29,26,92.3,26,1,93.7,6.5
2025-10-06,CUST01,Central Market Group,CAT03-SKU01,Plant-Based Meals,15,14,94.5,9,0,96.0,3.6
2025-10-06,CUST01,Central Market Group,CAT03-SKU02,Plant-Based Meals,7,6,93.3,1,2,99.8,2.3
2025-10-06,CUST01,Central Market Group,CAT03-SKU03,Plant-Based Meals,2,1,82.7,1,4,96.1,0.5
2025-10-06,CUST01,Central Market Group,CAT03-SKU04,Plant-Based Meals,33,31,97.0,14,0,99.8,5.3
2025-10-06,CUST01,Central Market Group,CAT03-SKU05,Plant-Based Meals,8,7,96.1,2,4,93.3,4.0
2025-10-06,CUST01,Central Market Group,CAT03-SKU06,Plant-Based Meals,6,5,91.6,2,4,96.4,0.5
2025-10-06,CUST01,Central Market Group,CAT04-SKU01,Natural Personal Care,33,32,97.2,14,0,99.8,2.7
2025-10-06,CUST01,Central Market Group,CAT04-SKU02,Natural Personal Care,35,33,96.8,7,2,93.1,3.2
2025-10-06,CUST01,Central Market Group,CAT04-SKU03,Natural Personal Care,29,26,92.5,15,1,93.0,1.3
2025-10-06,CUST01,Central Market Group,CAT04-SKU04,Natural Personal Care,22,17,79.0,17,4,95.0,1.6
2025-10-06,CUST01,Central Market Group,CAT04-SKU05,Natural Personal Care,28,26,93.2,11,3,95.7,4.5
2025-10-06,CUST01,Central Market Group,CAT04-SKU06,Natural Personal Care,18,17,98.4,7,1,82.9,0.5
2025-10-06,CUST01,Central Market Group,CAT05-SKU01,Organic Pantry Staples,7,6,92.1,5,2,89.9,3.5
2025-10-06,CUST01,Central Market Group,CAT05-SKU02,Organic Pantry Staples,18,17,94.8,9,1,83.1,4.2
2025-10-06,CUST01,Central Market Group,CAT05-SKU03,Organic Pantry Staples,10,9,96.1,3,0,83.7,6.6
2025-10-06,CUST01,Central Market Group,CAT05-SKU04,Organic Pantry Staples,11,10,91.1,3,4,99.8,1.8
2025-10-06,CUST01,Central Market Group,CAT05-SKU05,Organic Pantry Staples,20,18,94.9,4,0,94.2,2.6
2025-10-06,CUST01,Central Market Group,CAT05-SKU06,Organic Pantry Staples,19,17,92.4,4,2,83.2,5.3
2025-10-06,CUST01,Central Market Group,CAT06-SKU01,Fresh Specialty Cheese,4,3,96.3,3,3,99.8,1.6
2025-10-06,CUST01,Central Market Group,CAT06-SKU02,Fresh Specialty Cheese,6,5,99.0,2,2,94.4,0.5
